ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
DBG,Digital Bullion Gold,PoS,TRUE,PoS,0,15000000,15000000.00,394
WMC,WMCoin,X11,TRUE,PoS,,1000000000,1000000000.00,395
GOTX,GothicCoin,Scrypt,TRUE,PoW,,313333333,313333333.00,396
SHREK,ShrekCoin,Scrypt,TRUE,PoW/PoS,,1246000000,1246000000.00,397
REV,Revenu,SHA-256,TRUE,PoW/PoS,1195525,222725000,222725000.00,398
PBC,PabyosiCoin,X11,TRUE,PoW/PoS,,31500000000,31500000000.00,399
OBS,Obscurebay,X11,TRUE,PoW/PoS,,6562000,6562000.00,400
EXIT,ExitCoin,Scrypt,TRUE,PoW/PoS,,756000000,756000000.00,401
EDUC,EducoinV,Scrypt,TRUE,PoW/PoS,,99000000,99000000.00,402
CLINT,Clinton,SHA-256,TRUE,PoW,0,2421227,2421227.00,403
CKC,Clockcoin,SHA-256,TRUE,PoW/PoS,16662820,525000000,525000000.00,404
VIP,VIP Tokens,NIST5,TRUE,PoW/PoS,83450403,90000000,90000000.00,405
NXE,NXEcoin,NIST5,TRUE,PoW/PoS,,2200000,2200000.00,406
ZOOM,ZoomCoin,Lyra2RE,TRUE,PoW,,250000,250000.00,407
YOVI,YobitVirtualCoin,SHA-256,TRUE,PoS,,22830000,22830000.00,408
ORLY,OrlyCoin,X15,TRUE,PoW/PoS,0,36000000,36000000.00,409
KUBOS,KubosCoin,Scrypt,FALSE,PoW/PoS,,9.87E+11,987000000000.00,410
SAK,SharkCoin,SHA-256,TRUE,PoW,,400000000,400000000.00,411
EVIL,EvilCoin,X11,TRUE,PoW/PoS,,21024000,21024000.00,412
COX,CobraCoin,Scrypt,TRUE,PoW/PoS,,1012941176,1012941176.00,413
BSD,BitSend,X11,TRUE,PoW/PoS,24387724.5,139000000,139000000.00,414
DES,Destiny,Scrypt,TRUE,PoW/PoS,,212625,212625.00,415
BIT16,16BitCoin,NIST5,TRUE,PoW/PoS,0,16000000,16000000.00,416
CMTC,CometCoin,Scrypt,TRUE,PoW,,2000000,2000000.00,417
CHESS,ChessCoin,Scrypt,TRUE,PoW/PoS,0,74666667,74666667.00,418
REE,ReeCoin,Scrypt,TRUE,PoW/PoS,0,350000000,350000000.00,419
MARV,Marvelous,Scrypt,TRUE,PoW,,400000000,400000000.00,420
OMNI,Omni,Scrypt,TRUE,PoW,616448,616448,616448.00,421
TRTK,TrollTokens,SHA-256,FALSE,PoW/PoS,,860000000,860000000.00,422
LIR,Let it Ride,POS 3.0,TRUE,PoS,38589808.67,33500000,33500000.00,423
SCRPT,ScryptCoin,Scrypt,TRUE,PoW,,34181818,34181818.00,424
SPCIE,Specie,PoS,TRUE,PoS,,9000000,9000000.00,425
CJ,CryptoJacks,X13,TRUE,PoW/PoS,,500000000,500000000.00,426
PUT,PutinCoin,Scrypt,TRUE,PoW/PoS,813092338.6,2000000000,2000000000.00,427
KRAK,Kraken,SHA-256,TRUE,PoW/PoS,,20000000,20 000 000,428
IBANK,iBankCoin,Scrypt,TRUE,PoW/PoS,4526324,44333333,44333333.00,429
WRLGC,World Gold Coin,SHA-256,FALSE,PoW,,51000000,51000000.00,430
